,2019_C2DNN_46,2019_C2DNN_44,2019_C2DNN_94,2019_C2DNN_42,2019_C2DNN_92,2019_C2DNN_17,2019_C2DNN_67,2019_C2DNN_15,2019_C2DNN_65,2019_C2DNN_13,2019_C2DNN_63,2019_C2DNN_38,2019_C2DNN_88,2019_C2DNN_36,2019_C2DNN_86,2019_C2DNN_34,2019_C2DNN_84,2019_C2DNN_9,2019_C2DNN_59,2019_C2DNN_7,2019_C2DNN_57,2019_C2DNN_5,2019_C2DNN_55,2019_C2DNN_28,2019_C2DNN_78,2019_C2DNN_76,2019_C2DNN_74,2019_C2DNN_49,2019_C2DNN_47,2019_C2DNN_50,2019_C2DNN_45,2019_C2DNN_18,2019_C2DNN_68,2019_C2DNN_21,2019_C2DNN_16,2019_C2DNN_66,2019_C2DNN_39,2019_C2DNN_89,2019_C2DNN_37,2019_C2DNN_87,2019_C2DNN_40,2019_C2DNN_90,2019_C2DNN_58,2019_C2DNN_11,2019_C2DNN_61,2019_C2DNN_29,2019_C2DNN_79,2019_C2DNN_32,2019_C2DNN_82,2019_C2DNN_30,2019_C2DNN_80,2019_C2DNN_3,2019_C2DNN_48,2019_C2DNN_1,2019_C2DNN_51,2019_C2DNN_24,2019_C2DNN_69,2019_C2DNN_72,2019_C2DNN_20,2019_C2DNN_70,2019_C2DNN_43,2019_C2DNN_93,2019_C2DNN_41,2019_C2DNN_91,2019_C2DNN_14,2019_C2DNN_64,2019_C2DNN_12,2019_C2DNN_62,2019_C2DNN_10,2019_C2DNN_60,2019_C2DNN_35,2019_C2DNN_85,2019_C2DNN_33,2019_C2DNN_83,2019_C2DNN_81,2019_C2DNN_6,2019_C2DNN_56,2019_C2DNN_4,2019_C2DNN_54,2019_C2DNN_2,2019_C2DNN_52,2019_C2DNN_27,2019_C2DNN_77,2019_C2DNN_25,2019_C2DNN_75,2019_C2DNN_23,2019_C2DNN_73,2019_C2DNN_71
Eline,10.0,6.0,3.0,5.0,4.0,,3.0,,9.0,7.0,7.0,1.0,7.0,8.0,6.0,6.0,3.0,5.0,9.0,6.0,1.0,4.0,9.0,10.0,4.0,10.0,2.0,2.0,1.0,11.0,3.0,9.0,7.0,10.0,8.0,9.0,10.0,,6.0,1.0,3.0,,1.0,10.0,3.0,1.0,3.0,4.0,10.0,9.0,,10.0,3.0,11.0,4.0,1.0,6.0,4.0,3.0,2.0,11.0,1.0,5.0,5.0,,2.0,2.0,11.0,6.0,4.0,7.0,6.0,5.0,10.0,4.0,7.0,5.0,6.0,11.0,7.0,8.0,4.0,1.0,8.0,4.0,1.0,3.0,3.0
DKZ_3,3.0,4.0,6.0,10.0,3.0,4.0,6.0,5.0,5.0,6.0,11.0,9.0,10.0,6.0,3.0,9.0,9.0,3.0,5.0,5.0,4.0,10.0,8.0,4.0,7.0,5.0,8.0,10.0,11.0,4.0,9.0,5.0,6.0,5.0,5.0,7.0,5.0,3.0,3.0,10.0,8.0,5.0,6.0,6.0,8.0,6.0,8.0,10.0,3.0,6.0,4.0,6.0,6.0,10.0,10.0,10.0,3.0,8.0,9.0,10.0,10.0,4.0,8.0,4.0,,11.0,5.0,5.0,9.0,3.0,10.0,10.0,4.0,3.0,3.0,3.0,11.0,9.0,3.0,3.0,3.0,10.0,4.0,3.0,9.0,7.0,9.0,10.0
DKZ_1,1.0,2.0,4.0,8.0,1.0,2.0,4.0,3.0,3.0,4.0,9.0,7.0,8.0,4.0,1.0,7.0,7.0,1.0,3.0,3.0,2.0,8.0,6.0,2.0,5.0,3.0,6.0,8.0,9.0,2.0,7.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,6.0,6.0,3.0,4.0,4.0,6.0,4.0,6.0,8.0,1.0,4.0,2.0,4.0,4.0,8.0,8.0,8.0,1.0,6.0,7.0,8.0,8.0,2.0,6.0,2.0,,9.0,3.0,3.0,7.0,1.0,8.0,8.0,2.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,8.0,2.0,1.0,7.0,5.0,7.0,8.0
DKZ_2,2.0,3.0,5.0,9.0,2.0,3.0,5.0,4.0,4.0,5.0,10.0,8.0,9.0,5.0,2.0,8.0,8.0,2.0,4.0,4.0,3.0,9.0,7.0,3.0,6.0,4.0,7.0,9.0,10.0,3.0,8.0,4.0,5.0,4.0,4.0,6.0,4.0,2.0,2.0,9.0,7.0,4.0,5.0,5.0,7.0,5.0,7.0,9.0,2.0,5.0,3.0,5.0,5.0,9.0,9.0,9.0,2.0,7.0,8.0,9.0,9.0,3.0,7.0,3.0,,10.0,4.0,4.0,8.0,2.0,9.0,9.0,3.0,2.0,2.0,2.0,10.0,8.0,2.0,2.0,2.0,9.0,,2.0,8.0,6.0,8.0,9.0
AEDV_1,8.0,9.0,,6.0,9.0,5.0,7.0,7.0,6.0,8.0,3.0,2.0,1.0,9.0,9.0,4.0,5.0,10.0,6.0,1.0,5.0,5.0,10.0,5.0,2.0,8.0,4.0,5.0,5.0,9.0,10.0,1.0,9.0,1.0,1.0,1.0,7.0,4.0,8.0,8.0,1.0,,8.0,7.0,9.0,8.0,4.0,5.0,5.0,7.0,5.0,1.0,9.0,4.0,1.0,5.0,4.0,2.0,5.0,6.0,1.0,6.0,9.0,7.0,1.0,5.0,7.0,1.0,4.0,10.0,3.0,1.0,7.0,8.0,9.0,9.0,3.0,3.0,6.0,5.0,4.0,1.0,5.0,9.0,10.0,9.0,5.0,1.0
Milan_2,7.0,,,,,,,,11.0,,6.0,,,,,,,,,,11.0,,,,,,,,,6.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,9.0,,,,,,,,,5.0,,,,,,6.0,,,
DOL,11.0,5.0,7.0,2.0,5.0,1.0,9.0,10.0,8.0,3.0,8.0,10.0,6.0,1.0,4.0,3.0,4.0,7.0,8.0,10.0,9.0,3.0,1.0,7.0,10.0,11.0,1.0,1.0,4.0,1.0,4.0,6.0,8.0,8.0,9.0,10.0,6.0,,7.0,2.0,4.0,6.0,10.0,1.0,11.0,10.0,9.0,7.0,7.0,1.0,7.0,3.0,11.0,2.0,3.0,4.0,7.0,5.0,4.0,1.0,5.0,5.0,1.0,6.0,4.0,1.0,1.0,6.0,1.0,5.0,2.0,7.0,1.0,7.0,6.0,8.0,6.0,5.0,8.0,8.0,7.0,3.0,10.0,7.0,3.0,8.0,10.0,4.0
DWZ_2,5.0,8.0,2.0,4.0,7.0,8.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,8.0,2.0,2.0,9.0,11.0,9.0,8.0,2.0,3.0,9.0,9.0,2.0,10.0,4.0,3.0,8.0,2.0,8.0,2.0,7.0,7.0,4.0,2.0,,5.0,5.0,10.0,2.0,3.0,3.0,2.0,3.0,11.0,2.0,9.0,3.0,9.0,8.0,8.0,7.0,6.0,3.0,10.0,10.0,2.0,5.0,4.0,9.0,3.0,10.0,,8.0,10.0,10.0,3.0,7.0,6.0,4.0,10.0,5.0,8.0,6.0,8.0,2.0,10.0,10.0,10.0,6.0,9.0,6.0,2.0,4.0,2.0,7.0
Milan_1_shifted,6.0,,,,,,,,10.0,,5.0,,,,,,,,,,10.0,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,8.0,,,,,,,,,4.0,,,,,,5.0,,,
AEDV_2,9.0,10.0,,7.0,10.0,6.0,8.0,8.0,7.0,9.0,4.0,3.0,2.0,10.0,10.0,5.0,6.0,4.0,7.0,2.0,6.0,6.0,11.0,6.0,3.0,9.0,5.0,6.0,6.0,10.0,11.0,2.0,10.0,2.0,2.0,2.0,8.0,5.0,9.0,7.0,2.0,,9.0,8.0,10.0,9.0,5.0,6.0,6.0,8.0,6.0,2.0,10.0,5.0,2.0,6.0,5.0,3.0,6.0,7.0,2.0,7.0,10.0,8.0,2.0,6.0,8.0,2.0,5.0,11.0,4.0,2.0,8.0,9.0,10.0,10.0,4.0,4.0,7.0,6.0,5.0,2.0,6.0,10.0,11.0,10.0,6.0,2.0
DWZ_1,4.0,7.0,1.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,7.0,1.0,1.0,8.0,10.0,8.0,7.0,1.0,2.0,8.0,8.0,1.0,9.0,3.0,2.0,7.0,1.0,7.0,1.0,6.0,6.0,3.0,1.0,,4.0,4.0,9.0,1.0,2.0,2.0,1.0,2.0,10.0,1.0,8.0,2.0,8.0,7.0,7.0,6.0,5.0,2.0,9.0,9.0,1.0,4.0,3.0,8.0,2.0,9.0,,7.0,9.0,9.0,2.0,6.0,5.0,3.0,9.0,4.0,7.0,5.0,7.0,1.0,9.0,9.0,9.0,5.0,8.0,5.0,1.0,3.0,1.0,6.0
Milan,,1.0,8.0,1.0,8.0,,10.0,6.0,,10.0,,6.0,5.0,7.0,5.0,10.0,10.0,6.0,,7.0,,7.0,,1.0,1.0,,3.0,7.0,,,,10.0,3.0,9.0,10.0,8.0,9.0,,10.0,3.0,5.0,,7.0,9.0,,7.0,,3.0,4.0,10.0,1.0,9.0,,3.0,7.0,7.0,8.0,1.0,10.0,3.0,,10.0,4.0,1.0,3.0,,6.0,,10.0,,1.0,5.0,6.0,6.0,5.0,4.0,,10.0,,4.0,6.0,7.0,7.0,4.0,,2.0,4.0,5.0
Milan_2_shifted,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,7.0,,,8.0,,6.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,4.0,,8.0,,,,,,,,,2.0,,,,,,,,,,,
Milan_1,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,6.0,,,7.0,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,3.0,,7.0,,,,,,,,,1.0,,,,,,,,,,,
Milan_artefact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
